"","age","sex","marital_status","race","edu","wage"
"338075",45,2,0,1,12,9.79840477608298
"109119",32,1,0,1,16,9.61613875787447
"362552",54,2,0,1,12,9.2018040409539
"72499",33,1,0,1,16,9.82579624482026
"131053",36,1,0,1,19,8.85008760668957
"522681",51,1,0,1,5,7.13489085156588
"290453",42,1,0,1,10,9.46537011215271
"543229",31,1,0,1,20,7.60339933974067
"137067",50,2,0,2,19,9.30610499396056
"333553",55,1,0,1,16,9.79840477608298
"330864",31,1,0,1,12,10.086017420965
"220161",35,1,0,2,8,6.75110146893676
"149471",49,1,0,1,12,9.96763537235988
"386799",52,2,0,1,12,8.70034773451408
"35145",32,1,0,1,12,9.03658204584272
"413134",60,1,0,1,9,9.79840477608298
"295683",53,2,0,1,8,9.16481985667437
"317876",30,1,0,1,13,9.61613875787447
"210220",37,1,0,1,12,9.33300038471207
"340340",56,1,0,1,12,10.0434668625896
"430440",51,2,0,1,11,9.90373752129133
"184201",34,2,0,1,11,9.79840477608298
"567305",38,2,0,2,12,7.77275271646874
"331502",44,2,0,1,12,9.61613875787447
"82676",30,2,0,1,16,9.39307850865535
"399848",60,2,0,1,12,9.95108653133541
"550746",32,1,0,2,12,7.80994708647679
"47089",48,2,0,2,11,8.51819269174932
"210200",33,1,0,1,12,9.10553525761006
"492242",40,2,0,1,16,9.61613875787447
"299726",48,2,0,1,20,9.30882731869084
"573498",37,2,0,1,16,9.68065645240396
"415231",32,2,0,2,14,8.98782162543081
"396976",40,1,0,1,10,9.43388384331172
"433692",58,2,0,1,12,8.91126025457203
"561785",43,1,0,1,12,10.0776509216286
"295209",42,1,0,1,16,9.72943174015921
"437312",35,1,0,1,12,9.29880901996379
"198162",39,2,0,1,12,9.39307850865535
"157075",34,2,0,2,18,9.52259309836217
"123399",51,1,0,1,17,9.85875165869474
"204509",45,1,0,1,12,9.93425921120288
"22554",43,2,0,1,17,8.9099107267019
"227826",39,1,0,1,16,9.46923709299621
"268183",45,2,0,2,7,7.82604401351897
"598196",45,1,0,1,15,9.61613875787447
"119371",39,1,0,1,12,9.96763537235988
"214789",33,1,0,2,9,7.60339933974067
"284193",31,1,0,1,11,6.80793494369993
"409740",33,1,0,1,17,8.88253050843362
"359636",30,1,0,1,12,8.73953642255968
"168489",30,1,0,1,14,9.11657899216171
"336032",50,2,0,1,11,8.0471895621705
"296426",54,2,0,1,20,10.21115605892
"280750",38,1,0,1,20,9.39889247852077
"173135",51,2,0,1,9,7.31654817718298
"333205",50,2,0,1,12,9.61613875787447
"579017",32,1,0,1,16,9.35053700246947
"39460",60,2,0,1,12,9.68065645240396
"172913",54,2,0,1,9,7.60339933974067
"106995",39,2,0,1,12,9.43388384331172
"541378",50,2,0,1,14,9.46923709299621
"13439",54,1,0,1,18,9.68065645240396
"246214",30,1,0,2,12,8.51819269174932
"402942",52,1,0,1,16,10.0713297880652
"11700",34,1,0,2,10,9.17936556767675
"402833",57,2,0,1,10,8.55737498104907
"167799",45,2,0,1,12,9.7412626974413
"154480",37,2,0,1,12,9.54716968769421
"353781",46,1,0,1,20,8.29529885950246
"106102",52,2,0,1,16,9.7412626974413
"549424",34,1,0,1,12,9.54716968769421
"130731",33,1,0,1,17,9.68065645240396
"95887",42,1,0,1,12,9.2596066132791
"122649",37,1,0,2,12,7.86518795418747
"538305",50,2,0,1,12,9.87893867961471
"387141",52,1,0,1,16,7.65207074611648
"546980",60,1,0,2,12,10.1041809750127
"300768",43,1,0,1,13,9.30610499396056
"312337",48,1,0,1,10,9.41287296938627
"88130",33,2,0,1,17,9.54716968769421
"232947",31,2,0,2,12,6.69084227741856
"274388",33,1,0,1,16,10.9682844927095
"224980",42,2,0,1,17,9.66997795897274
"327378",31,1,0,1,12,8.92332474406756
"399834",53,1,0,1,10,9.39307850865535
"216686",38,2,0,1,15,8.61341204915678
"226715",33,1,0,2,9,7.60339933974067
"516867",31,2,0,1,12,8.81507308884446
"170694",31,1,0,1,12,9.53061063402112
"92843",30,1,0,1,13,8.98782162543081
"71865",30,1,0,1,18,9.01249900352419
"399410",56,2,0,1,12,9.08760760659389
"389186",30,2,0,1,12,9.31515073632853
"505136",31,1,0,1,19,9.64891783153455
"244560",39,2,0,2,14,9.30610499396056
"264981",31,1,0,1,12,9.54716968769421
"110483",58,1,0,1,12,8.98782162543081
"291689",31,2,0,2,6,6.98933526597456
"43906",57,1,0,2,13,8.7879833961978
"70670",52,1,0,1,6,6.67834211465433
"355506",40,2,0,1,12,8.45638105201948
"493359",43,1,0,1,12,9.94246785217701
"115080",44,1,0,1,16,9.21084024701783
"204507",59,2,0,1,11,9.13830716907635
"585613",54,1,0,1,16,10.126831083853
"524927",54,1,0,1,5,9.7258549852283
"414285",56,1,0,1,12,9.21084024701783
"356550",31,1,0,2,12,6.40522845803084
"495405",31,2,0,2,12,9.39307850865535
"395267",31,2,0,1,12,8.92864037120195
"47794",40,1,0,2,9,8.63319686717254
"15230",41,2,0,1,15,8.57640505104808
"333423",39,1,0,2,10,8.98782162543081
"410105",40,1,0,2,12,9.46148811969999
"216598",36,2,0,1,12,9.54359314597042
"305145",32,1,0,1,16,10.1324143486061
"506504",48,2,0,1,12,9.31244559491334
"374253",32,2,0,1,12,9.39307850865535
"383295",32,2,0,1,16,9.02701831484864
"49151",31,1,0,1,12,9.60407022386593
"335003",56,2,0,1,12,3.2188758248682
"279195",41,1,0,1,12,9.71383922035571
"83208",41,2,0,1,20,7.96032362914884
"142510",31,2,0,1,17,9.86292594078001
"380837",53,1,0,1,11,9.90373752129133
"510821",33,2,0,1,13,9.52551600873689
"385678",45,2,0,1,7,9.17936556767675
"501055",47,2,0,1,12,9.04251326133268
"19108",41,2,0,1,12,8.51819269174932
"173257",58,1,0,1,12,8.96251983294953
"385679",45,2,0,1,10,9.75062770589179
"381118",46,2,0,1,18,9.79840477608298
"162031",54,1,0,1,9,8.43489794868941
"308639",46,2,0,1,16,8.14177220465645
"594539",60,1,0,1,13,9.03181161342092
"72170",36,2,0,1,17,9.03658204584272
"539318",34,2,0,1,13,9.24522477382969
"60096",31,1,0,2,10,8.90313563303554
"140950",36,2,0,1,12,9.7412626974413
"334372",38,2,0,2,9,8.98782162543081
"101664",36,1,0,2,12,7.44716835960004
"293187",38,2,0,1,12,8.61341204915678
"345741",50,2,0,1,18,9.95489334059603
"20997",40,1,0,1,18,7.9391588179568
"396978",33,1,0,1,12,10.2613368067026
"398827",41,1,0,1,13,8.89357271862931
"300677",32,1,0,1,9,9.30610499396056
"528319",58,1,0,1,9,9.49514330367712
"108825",32,2,0,1,12,8.50613224405681
"20999",32,1,0,1,20,9.62145615159316
"581577",31,1,0,1,16,10.2970487561415
"589179",49,1,0,1,16,9.87842612194076
"297607",50,1,0,1,12,9.44975089575427
"459993",37,2,0,1,18,8.70034773451408
"26428",40,1,0,1,20,9.97604074521784
"8774",37,1,0,1,19,8.9599540842681
"541783",32,2,0,2,12,9.54716968769421
"123195",41,2,0,2,12,9.61613875787447
"57279",38,1,0,2,12,8.85437945877111
"518584",36,2,0,1,13,9.19877373560472
"578231",33,2,0,1,12,8.89768231345422
"13401",32,1,0,1,19,9.5822486965555
"178827",56,2,0,1,9,8.61341204915678
"560297",33,2,0,1,12,8.96251983294953
"71589",38,2,0,1,17,9.61613875787447
"497159",37,1,0,1,16,10.021492785727
"70567",30,1,0,1,12,9.17626639164243
"225143",33,2,0,2,8,5.87211778947542
"309424",33,1,0,1,12,9.30610499396056
"93370",34,1,0,1,10,8.27001306227379
"211882",51,2,0,2,11,8.45212119467252
"338525",43,2,0,1,18,10.0017479217036
"136555",46,1,0,1,12,9.95251578360348
"486328",59,1,0,1,12,9.85245738142335
"409953",31,1,0,1,16,8.51819269174932
"414824",45,1,0,2,8,10.1985796031629
"222142",34,2,0,2,12,9.04840950482996
"382604",58,2,0,1,12,9.87018926713461
"9176",39,2,0,1,13,6.22455842927536
"561598",35,2,0,1,15,8.55737498104907
"232104",53,1,0,1,6,7.72090525193678
"423508",34,1,0,1,12,9.90373752129133
"223647",46,1,0,2,8,8.34402957240705
"536083",36,2,0,2,11,8.70034773451408
"338077",33,2,0,1,12,9.61613875787447
"551634",32,2,0,2,11,8.52615293278771
"393947",31,2,0,1,12,9.40137386937216
"581675",54,1,0,1,4,8.23615566168312
"560013",60,2,0,1,8,8.98782162543081
"162481",30,1,0,1,14,6.94215670569947
"73649",52,2,0,1,12,8.85437945877111
"118747",43,1,0,1,14,8.98782162543081
"117174",32,2,0,1,9,9.21084024701783
"70237",35,1,0,1,16,9.72943174015921
"108340",33,1,0,1,14,9.66173441197275
"573273",34,2,0,1,16,9.08760760659389
"368389",34,1,0,1,12,7.09423484592476
"292489",42,1,0,1,10,9.08307502093031
"558541",34,2,0,1,12,9.33565056294163
"491252",32,1,0,1,14,9.90373752129133
"288296",32,2,0,2,12,7.69848278788095
"520326",30,2,0,1,16,9.54716968769421
"549688",44,2,0,1,12,9.35919131870854
"134585",58,2,0,1,12,9.32411538623503
"346762",57,2,0,1,12,9.18860587983018
"254093",37,1,0,1,17,8.29529885950246
